文本内容|实体关系1
The road starts at an intersection with Melrose Avenue East 165th Street Brook Avenue and Park Avenue in Melrose|{[4,8],VBZ},{[22,34],VBP},Other
The weight of the groceries in a shopping basket and the number of items in a shopping basket are discrete quantities|{[18,27],NN},{[42,48],DT},Content-Container
The artist hid the convulsion with a forced laugh and finished the performance but went immediately to bed|{[4,10],NN},{[44,49],DT},Other
The organisation campaigns against such things as child labour |{[4,16],NN},{[50,62],NN},Other
 Herds with one stallion were organized in many stud farms and a large number of separate lines were recognized|{[16,24],VBZ},{[1,6],NN},Member-Collection
The couple got out safely from the area |{[4,10],VBP},{[35,39],NN},Entity-Origin
The filters are going into people's blood streams |{[4,11],NN},{[42,49],NN},Entity-Destination
The brown areas are caused by drought  brown patch take-all-patch chinch bugs or grubs|{[30,37],NN},{[4,15],NN},Cause-Effect
The restaurant creates dishes using farm fresh products and organic products found from local farms like Meadow Mountains and Haystack|{[47,55],NN},{[4,14],NN},Instrument-Agency
But in 2004 the rupture started at the southeast end of the segment and ran northwestward the opposite direction from those that struck in '34 and '66|{[16,23],JJ},{[39,52],MD},Other
In doing this we recognize that English language teaching comprises a global community of teachers and learners in a range of social contexts|{[90,98],VBZ},{[77,86],VBP},Member-Collection
The tsunami wave was generated by a 100 kilometer radius cavity  3000 meters deep|{[12,16],DT},{[57,63],DT},Entity-Origin
Their dash raised a flock of morning doves and caused a scurry of ground squirrels into their holes|{[73,82],NN},{[56,62],NN},Member-Collection
The other countries passed their own laws to establish local slave registries |{[37,41],DT},{[67,77],NN},Other
 Millions of dollars are poured into research for the innermost recesses of the atom|{[1,9],NN},{[37,45],NN},Entity-Destination
The bail of the pendant is created in dimensional lattice weave|{[4,8],DT},{[16,23],NN},Component-Whole
Many adults retain scars from acne breakouts during their teen years and feel marked for life|{[30,44],JJ},{[19,24],VBZ},Cause-Effect
It has been nearly 40 years since former US president Lyndon Johnson convened the skulk of veteran foxes for the fateful consultation on November 2 1967 on the issue of the Vietnam War|{[99,104],NN},{[82,87],NN},Member-Collection
Similar provisions are established in the same article |{[47,54],NN},{[8,18],NN},Message-Topic
Northern Michigan towns hosts an array of Yuletide events |{[33,38],NN},{[51,57],NN},Other
I judged the book by the cover |{[25,30],VBP},{[13,17],NN},Component-Whole
At the same time the government carefully chose the facts that it gave to the newspapers|{[52,57],DT},{[21,31],MD},Instrument-Agency
The slow suffocation of the cells swiftly cause unconsciousness and shock  soon followed by death|{[9,20],JJ},{[68,73],NN},Cause-Effect
The granules and the pebbles are caused by a magnetic force to collide with one another thereby resulting in liberation of the oxygen molecules contained in the granules and the pebbles|{[4,12],VBZ},{[45,59],DT},Other
The results of Al Shabab KSA in the 2007-2008 season are shown in this article |{[71,78],NN},{[4,11],NN},Message-Topic
The metacorpora ware misplaced into the isthmus |{[4,15],NN},{[40,47],VBP},Entity-Destination
The document makes reference to three similar incidents |{[4,12],MD},{[46,55],VBP},Message-Topic
The governor piled up all the mud into another causeway  in the style of Bai Causeway|{[47,55],DT},{[4,12],MD},Product-Producer
His site shows some pottery by well known potters |{[20,27],MD},{[42,49],MD},Product-Producer
A reservation newspaper captured the mood with a headline : Wilma Mankiller Cecelia Babykiller|{[49,57],VBZ},{[14,23],NN},Component-Whole
Description StyleSearch is a competition to establish the UK's most ethical dressers |{[29,40],VBP},{[76,84],NN},Other
His family was originally from the Baltic region |{[4,10],DT},{[42,48],NN},Entity-Origin
The Catalog of Norwegian Research Institutes and Laboratories is a database containing information on more than 110 R&D performing institutions in the Norwegian Institute Sector|{[87,98],VBP},{[131,143],VBP},Message-Topic
In his speech  he related his trishaw journey experience to the residents who kept giving him loud applause|{[7,13],NN},{[46,56],NNP},Message-Topic
The ear of the mouse was used in this study|{[4,7],DT},{[15,20],MD},Component-Whole
Qualifying for the Champions League and earning the extra revenue from guaranteed television money  is a major goal of top European clubs|{[58,65],NN},{[93,98],MD},Entity-Origin
In Prologue the youthful scientist splits open a hailstone with a violin string  the only sharp edge available|{[73,79],NN},{[25,34],NN},Instrument-Agency
In these cases the disappointment from the purchase is not forgotten over time but rather accumulates|{[43,51],JJ},{[19,33],NN},Cause-Effect
In 1805 merchants of the city formed a troop of cavalry in Montreal|{[39,44],NN},{[48,55],DT},Other
The operator drained the outfall into the curb |{[25,32],JJ},{[42,46],JJ},Entity-Destination
They packed saltpetre into thin-size bamboo sticks |{[12,21],DT},{[44,50],NN},Entity-Destination
The streaking was from the penguins doing what all animals do in the forests and woods etc|{[4,13],NN},{[27,35],NN},Other
Solitaire generates its keystream using a deck of cards |{[50,55],DT},{[42,46],NN},Member-Collection
Once upon a time the remit of getting a first book published by an unknown author was that you had talent for prose and storytelling along with promise|{[46,50],NN},{[75,81],JJ},Product-Producer
The term dung beetle or Mistkaefer is in fact used in the novella by the cleaning lady near the end of the story but it is not used in the narration|{[58,65],NN},{[82,86],DT},Other
In the Festival Hall's foyer alongside videos of Birtwistle cooking pasta is an exhibition of the versatile composer 's drawings |{[120,128],VBZ},{[108,116],VBP},Product-Producer
This machine has a high-speed semiconductor switch for quick interruption and restart|{[30,50],NN},{[5,12],DT},Component-Whole
Other standards can apply to products covered by this document |{[29,37],NN},{[54,62],MD},Other
This issue has been covered in greater detail in many other documents about network abuse|{[60,69],MD},{[5,10],VBP},Message-Topic
Unemployment debt and poverty cause enormous stress |{[13,17],NN},{[45,51],NN},Cause-Effect
The students are groomed by an expert faculty of respected academicians and proven management professionals who bring the knowledge and experience of the corporate world to the classroom|{[59,71],NN},{[38,45],DT},Member-Collection
The earthquake was caused by the Anatolian plate and the Eurasian plate moving past each other|{[43,48],VBZ},{[4,14],DT},Cause-Effect
The frontal cortex is a part of the brain that maintains very close ties with the limbic system|{[12,18],VBP},{[36,41],NN},Component-Whole
There is an exhaust vent and a cable to start the engine just like a petrol driven lawnmower |{[69,75],NN},{[83,92],DT},Instrument-Agency
The synthesis was developed from his own work and that of M C Read in northern and Northeastern Ohio G K Gilbert and N H Winchell in Northwestern Ohio and Edward Orton in Southwestern Ohio|{[4,13],NN},{[41,45],MD},Entity-Origin
We have injected liquidity into the banking system |{[17,26],NN},{[36,50],DT},Entity-Destination
A large wading bird rookery of egrets  herons ibis and anhinga is along the lake edge at the east side of the park|{[31,37],NN},{[20,27],MD},Member-Collection
The mp3 player was inside a silicone case that covered everything but the click wheel and the screen|{[8,14],VBZ},{[28,41],NN},Content-Container
While it took only minutes for the Pacific tsunami and earthquake to cause havoc to the south coast of Samoa the rebuilding and reconstruction efforts will take years|{[43,50],NN},{[75,80],DT},Cause-Effect
With the lid of the three-story vacuum chamber in place a worker on top checks release of the cables|{[9,12],NN},{[32,46],DT},Component-Whole
Many more resources are required in order to stem the devastation that has been caused by the epidemic throughout sub-Saharan Africa|{[94,102],NN},{[54,65],NN},Cause-Effect
The red bead on the crank of the toy detaches posing a choking hazard to young children|{[20,25],VBP},{[33,36],NN},Component-Whole
The responsibility of the carrier commences from the moment he receives the merchandise personally or through a person charged for the purpose|{[26,33],DT},{[88,94],NN},Other
Everything's been done all interventions applied and everyone has worked hard at motivating that cohort of underperforming students |{[123,131],NN},{[97,103],VBP},Member-Collection
Each bid was enclosed in a sealed envelope bearing the title of the Project|{[5,8],NN},{[34,42],CC},Entity-Destination
She placed the bottle in a jug  filled this with freshly boiled water and placed it on a low table for ease of access|{[15,21],NN},{[27,30],JJ},Entity-Destination
As the story goes Whiteman went from being a string player in a symphony orchestra to becoming after the First World War the highest paid dance band in the country achieving both fame and money|{[52,58],VBZ},{[73,82],NN},Member-Collection
In the end the most important factor is how the electrician 's tool belt fits|{[68,72],NN},{[48,59],NN},Instrument-Agency
In one case the waterjet caused a large gouge on the bottom side of a a copper/ wood/copper piece|{[16,24],DT},{[40,45],MD},Cause-Effect
Frustrations threats  and conflicts cause stress |{[13,20],NN},{[42,48],NN},Cause-Effect
This is an atlas of maps and graphic representations of the geographies of the new electronic territories of the Internet the World-Wide Web and other emerging Cyberspaces|{[20,24],DT},{[37,52],NN},Other
During each trial the first experimenter observed the infant through the small peephole and recorded visual fixations to the left and right stimuli|{[79,87],NN},{[28,40],NNP},Instrument-Agency
The sample was contained in a brass sample cup |{[4,10],DT},{[43,46],JJ},Content-Container
The blacksmith creates shoes for horses and oxen hinges for doors farm implements metal parts for wagons hooks for home use cutting utensils and other similar devices|{[88,93],DT},{[4,14],NN},Product-Producer
There's the city that sprang from the imagination of the author of The Charterhouse of Parma and there's the real place|{[12,16],NN},{[57,63],JJ},Product-Producer
The second author constructed the web site using a new open-source toolkit|{[38,42],NN},{[11,17],JJ},Product-Producer
He pushed the rivet of the cable strap back into the hole|{[14,19],NN},{[33,38],NN},Component-Whole
This pipeline has transported natural gas to the urban area |{[38,41],DT},{[55,59],NN},Entity-Destination
Recently interviews were conduced on the topic of academic freedom |{[9,19],VBP},{[50,66],NN},Message-Topic
There was also some argumentation between the co-pilot and the pilot and captain relating with the speed and flaps|{[20,33],NN},{[99,104],NN},Message-Topic
There was a whole cohort of young professionals working to establish themselves|{[34,47],NN},{[18,24],VBP},Member-Collection
In those five years a drug developer must make enough profit to recover costs and replenish its research budget|{[22,26],NN},{[27,36],NN},Product-Producer
The damages caused by mudslides tremors  subsidence superficial or underground water were verified as well as swelling clay soils|{[32,39],NN},{[4,11],DT},Cause-Effect
Our ancestors journeyed into an unknown world to find food|{[4,13],JJ},{[32,45],JJ},Entity-Destination
It is currently a cabinet maker 's workshop|{[18,25],DT},{[26,31],DT},Product-Producer
In an excerpt from upcoming books  Andre Agassi says he took what he believes to be speed|{[6,13],NNP},{[28,33],NN},Entity-Origin
Several of the street's whores had wended their way through the crowd and now cooed like a cote of perfumed doves as they strove to press their exposed flesh to him|{[108,113],MD},{[91,95],VBP},Member-Collection
The real rum was in a glass on a nearby shelf|{[9,12],JJ},{[22,27],VBZ},Content-Container
UK researchers have offered new insight into the origins of RNA|{[32,39],VBP},{[49,56],NN},Message-Topic
The man delivers one more hard-charging book about the hellish demands of corporate law with the help of a well-used cookie cutter |{[124,130],JJ},{[4,7],DT},Instrument-Agency
As the boat sailed away from the port  we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides|{[7,11],VBZ},{[33,37],MD},Entity-Origin
 Polonium is distilled from bismuth under vacuum in a pot provided with a cover carrying a condenser which is positioned inside the pot|{[1,9],MD},{[28,35],NN},Entity-Origin
The sound machine contained 10 sounds that his dog loved|{[10,17],DT},{[31,37],MD},Cause-Effect
Coast guard participates in Veterans Day observance ceremony in Juneau|{[6,11],VBZ},{[52,60],VBP},Other
In the present study we adapted a battery of tests used to assess age-related cognitive decline in English speakers for use with older Spanish speakers|{[45,50],NN},{[34,41],DT},Member-Collection
Its menu includes customary Chinese dishes  such as sweet and sour pork and cashew chicken but it also lists some uncommon choices such as lemongrass chicken and kung pao triple delight|{[36,42],NN},{[4,8],NN},Member-Collection
Police have appealed for help in catching a burglar who snatched a suitcase full of booze from a garden shed|{[84,89],NN},{[67,75],NN},Content-Container
She saved up to 80% on ring binders  lever arch files box files folders manilla wallets suspension files plastic wallets and plastic pockets|{[23,27],NN},{[28,35],NN},Component-Whole
This is a list of films that feature extraterrestrial life |{[18,23],NN},{[37,58],NNP},Message-Topic
MEP center specialists provide an array of services to companies from initial assessments prioritizing opportunities for improvement to implementation projects guiding companies through process improvements productivity increases and growth|{[43,51],NN},{[34,39],NN},Member-Collection
A second element of debate had to do with transparency |{[20,26],NN},{[42,54],VBZ},Message-Topic
This module is part of the Virtual Geography department project and has been prepared for the Physical Geography Working Group of the Project|{[5,11],MD},{[56,63],NN},Component-Whole
This series consists of edited collections of essays some original and some previously published|{[31,42],VBP},{[5,11],NN},Member-Collection
These slippers have a double sole with padding inside|{[39,46],DT},{[22,33],NN},Component-Whole
 Jumbo squids are migrating into new waters  and scientists wonder why|{[1,13],JJ},{[37,43],DT},Entity-Destination
A cornerstone of American Jurisprudence is the right to be tried by a jury of ones peers |{[83,88],NN},{[70,74],JJ},Member-Collection
Highly durable the umbrella frame and thatch tiles have been designed to withstand harsh conditions including: strong winds driving rain and snow|{[28,33],VBZ},{[19,27],NN},Component-Whole
The article also talks about some fascinating movies made by Luis Bunuel|{[4,11],NN},{[46,52],IN},Message-Topic
A variety of articles were written on the topic of alarm management |{[13,21],NN},{[51,67],NN},Message-Topic
However his detailed description made quite clear the effect of the drug|{[21,32],NN},{[54,60],NNS},Message-Topic
The box was inside a plain brown paper bag with a heart drawn on the side|{[4,7],NN},{[33,42],DT},Content-Container
The system works using a spring loaded Trem arm which when turned raises or lowers itself from a nut in the steel backplate|{[44,47],NN},{[4,10],NN},Component-Whole
The steam caused a backpressure on the VTD resulting in the rupture disc opening|{[4,9],NN},{[19,31],DT},Cause-Effect
Such parodies are encouraged by the news that the British government's league tables for schools and health authorities contain basic flaws which render them practically useless|{[36,40],NN},{[78,84],DT},Message-Topic
The campaign coincides with a government initiative to promote safer drinking |{[41,51],VBP},{[63,77],DT},Other
But Solomon had arranged that the only water in the palace was in a jar by his bed|{[39,44],DT},{[68,71],DT},Content-Container
A decade later with a growing congregation of several hundred worshippers  the mosque was ready to expand|{[62,73],MD},{[30,42],VBP},Member-Collection
The Federal Aviation Administration is investigating the two latest cases under the theory that the ice fell from an aircraft |{[100,103],VBP},{[117,125],JJ},Entity-Origin
There was the glitter of admirals and generals before the high altar and the brighter colors of the representatives of powers and potentates|{[14,21],NN},{[25,33],JJ},Other
As per traditional Indian thinking seeing a brood of chickens along with a hen is a bad omen|{[53,61],NN},{[44,49],NN},Member-Collection
Furthermore the present invention includes a composition for treatment of disorders associated with or enhanced by an eosinophilia |{[61,70],NN},{[118,130],IN},Other
His death during one of the Portuguese raids caused the abandonment of the settlement|{[4,9],VBZ},{[56,67],NN},Cause-Effect
Furthermore many journals publishing biomedical research demand formal ethical clearance|{[17,25],NN},{[37,56],NN},Message-Topic
My son 9 years old has been complaining of pain on his jaw bone for a few weeks now|{[59,63],NN},{[55,58],DT},Component-Whole
By choosing to hold the ceremony in a public building and inviting guests you are recognizing both that your new life affects the lives of many other people|{[24,32],VBP},{[45,53],NN},Other
 Engineers turn CO2 into methane with the help of a novel cellular trick |{[67,72],NN},{[1,10],CC},Instrument-Agency
By 1906 the company was making over 3000 different soaps perfumes and other products|{[57,65],NN},{[12,19],VBP},Product-Producer
The author was born in a loving family  with all the privileges of an upper middle class lifestyle and in fact was an accomplished athlete in high school and writer in his adult life|{[4,10],JJ},{[32,38],DT},Entity-Origin
These are archived boat logs from previous months sampling beginning in February 2002|{[24,28],MD},{[43,49],MD},Entity-Origin
Their passion was reflected in the correspondence they kept|{[35,49],VBP},{[6,13],DT},Message-Topic
The lungs are divided into lobes |{[27,32],NN},{[4,9],JJ},Component-Whole
In general the old queen starts laying eggs into queen cups when conditions are right for swarming or supersedure|{[39,43],NN},{[19,24],JJ},Product-Producer
Two attributes have carried Meraki networks into Amazonian towns |{[35,43],NN},{[59,64],MD},Entity-Destination
Ku's sculpture-like knitwear was inspired by the concept of 'Sculpture'|{[20,28],CC},{[49,56],VBP},Other
A hacker uses a home computer that can be linked to other computers by a modem that allows the user to send and receive information over telephone lines|{[21,29],VBP},{[2,8],DT},Instrument-Agency
This activity spreads disease to our dogs |{[22,29],NN},{[37,41],MD},Entity-Destination
The aviator's jungle aid was contained in a sealed escape kit along with maps of the territory and a dictionary of phrases and words in local dialect|{[14,24],JJ},{[51,61],NNS},Content-Container
The eight-year-old boy was locked in a safe for a prank but had to be rescued when his air ran short|{[4,22],NN},{[39,43],DT},Other
Thus the leaves situated in the middle part of the stem of the sunflower plant show the highest amounts of endogenous cytokinin-like substances|{[51,55],NN},{[73,78],VBZ},Component-Whole
The paper inquires into energy storage examining electrical energy storage devices especially supercapacitors|{[4,9],DT},{[31,38],NN},Message-Topic
A 60-year-old US grandmother blind for nearly a decade has recovered her sight after surgeons implanted a tooth in her eye as a base to hold a tiny plastic lens|{[106,111],MD},{[119,122],NNS},Entity-Destination
You catched the train from the terminal  direct non-stop to Rome Termini Station|{[16,21],VBZ},{[31,39],NN},Entity-Origin
Forests are benefited by harboring a cete of badgers  who burrow in the soil thereby aerating it which helps root systems to grow through the soil|{[45,52],DT},{[37,41],VBP},Member-Collection
I watched with utter amazement as the upholsterer attached the pieces with a hook-and-eye gizmo |{[90,95],NN},{[38,49],NN},Instrument-Agency
Finally this entire assembly is covered by a lid attached to the rear of the coffeemaker and latches in front|{[45,48],NN},{[77,88],VBP},Other
 Exposure to vapor causes intense watering and irritation to eyes|{[1,9],NNP},{[34,42],DT},Cause-Effect
This two-day tutorial introduced astronomers to modern methods in nonparametric statistics|{[13,21],JJ},{[55,62],NN},Message-Topic
The boy inserted a coin into the machine and then took the ticket|{[19,23],NN},{[33,40],DT},Entity-Destination
Biting into the grill-charred bronze-fleshed Copper River salmon fillet perched on a hill of crisp-tender green beans and roasted fingerling potatoes -- a dribble of mustard vinaigrette around the plate rim the only sauce it wanted -- I was back in San Francisco again|{[85,89],NN},{[112,117],VBZ},Other
Once unregistered the folder went away from the shell |{[22,28],NN},{[48,53],NN},Entity-Origin
Each weekday one photograph by a member of the Utata flickr group is chosen to be featured on the Utata Blog|{[17,27],NN},{[33,39],NN},Product-Producer
This is an online notebook for astronomers and space scientists wanting to become involved in science education|{[18,26],NN},{[31,42],NN},Instrument-Agency
I always carry a suitcase with my clothes in it|{[34,41],VBP},{[17,25],NN},Content-Container
She lost a propellor blade going through the Bay of Biscay and was taken in tow arriving Gibraltar 2pm 6th March|{[21,26],NN},{[11,20],NN},Component-Whole
 Democrats are running into one problem after another trying to pass the health care bill in the Senate|{[1,10],CC},{[32,39],NN},Other
The Royal Navy's newest 1bn GBP warship has been handed over to the new owner in a formal ceremony|{[32,39],DT},{[72,77],NN},Entity-Destination
Designed for light chewers this colorful toy is made with little vine rings that slide between wood balls joined together with wooden craft sticks|{[70,75],NN},{[41,44],NN},Component-Whole
It only spreads tick to other cats |{[16,20],NN},{[30,34],DT},Entity-Destination
The stem of this tree is carved all around with names and dates many of them grown into mere scars on the bark|{[4,8],NN},{[17,21],NN},Component-Whole
The company has also targeted the premium sector with the Pringles Gourmet line |{[75,79],NN},{[4,11],VBP},Product-Producer
He took the cameras to the concert |{[12,19],DT},{[27,34],VBP},Entity-Destination
Fine workmanship is the result almost entirely of the worker 's accurate eye and deft hand|{[73,76],NNS},{[54,60],MD},Component-Whole
The printer covers the plate with a sheet of paper and runs both through a press under light pressure|{[45,50],DT},{[4,11],NN},Instrument-Agency
Close the lid of the portable computer  disconnect the computer from the power source and then reopen the lid|{[10,13],NN},{[21,38],MD},Component-Whole
Marketing communications resources are used by organisations in order to communicate with their target audiences|{[25,34],NN},{[47,60],NN},Instrument-Agency
The disease is passed on to another person by skin|{[4,11],NN},{[36,42],NN},Entity-Destination
The scandals are caused by the young female celebs who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines|{[44,50],VBP},{[4,12],VBZ},Cause-Effect
Many historical events have been described through music and song|{[51,56],JJ},{[5,22],NN},Message-Topic
The infection was caused by the contaminated chopsticks used by the parent to feed her child|{[45,55],VBP},{[4,13],VBP},Cause-Effect
Any time he told her before turning to the boy who was in the desk next to him|{[43,46],NN},{[62,66],NN},Other
One caravan trail developed into the Silk Road During the height of caravan travel which lasted until the 19th century a single caravan of Muslim pilgrims journeying from Cairo and Damascus to Mecca might employ as many as 10000 camels|{[146,154],NN},{[4,11],DT},Member-Collection
This author has just completed the first book on the topic: GIS in Hospital and Healthcare Emergency Management|{[41,45],NN},{[5,11],JJ},Product-Producer
A customer picks and chooses the level of information by using podcasting |{[63,73],MD},{[2,10],JJ},Instrument-Agency
Jordan's recent works are concerned with questions of truth beauty and the human condition|{[16,21],MD},{[41,50],JJ},Message-Topic
In his remarks  he described his call to Bush while the US president was giving a speech in Philadelphia|{[7,14],NN},{[33,37],DT},Message-Topic
Smith passed on his advice to the Naples High baseball team |{[20,26],NN},{[46,59],DT},Entity-Destination
As we left three liberated Frenchmen drove up in a car they had captured a few minutes before and tried to make their way through the jam of jabbering women |{[151,156],MD},{[134,137],DT},Member-Collection
In order to evaluate MonoTouch I've got an evaluation copy with the debugger from the evaluation page |{[54,58],VBP},{[97,101],DT},Entity-Origin
The convention took into account discharges of harmful substances from ships|{[4,14],VBP},{[33,43],NN},Other
The modern industry fabricates foods from non-traditional ingredients and additives to look like a familiar product|{[31,36],NN},{[11,19],VBP},Product-Producer
Grint shows he's becoming a delightful comic actor with a highly flexible voice |{[45,50],JJ},{[74,79],NN},Other
An unknown source brought an alien frog into our eco-system |{[29,39],NN},{[49,59],NNS},Other
They achieved the maximum possible flexibility in a crockery basket for receiving a plurality of different items of crockery|{[35,46],NN},{[61,67],DT},Other
Another important part of the coffeemaker is the one-way valve |{[57,62],DT},{[30,41],VBP},Component-Whole
The paint on the metal spiral bindings of the address books and journals contains excessive levels of lead which violates the federal lead paint ban|{[30,38],NN},{[54,59],NN},Component-Whole
The debate considers cultural value  social relevance sustainability and other abstract topics as possible measures to drive a decision|{[4,10],NN},{[30,35],DT},Message-Topic
A man in a mechanic's jumpsuit took the elevator to the eighteenth floor and shook hands with a smiling agent|{[40,48],NN},{[2,5],DT},Instrument-Agency
Eight to 10 protesters broke away from a larger group of demonstrators and darted into the street in front of Palin's car just after the first police motorcycles in her motorcade had passed|{[12,22],NN},{[48,53],NN},Entity-Origin
Parsley French Koomjian and two other members of the group scaled the tree with a rope |{[82,86],MD},{[38,45],NN},Instrument-Agency
This subject has over the years become the topic for much discussion |{[58,68],NN},{[5,12],NN},Message-Topic
 Parameters were obtained from EEG epochs of 30s|{[1,11],DT},{[35,41],NN},Entity-Origin
Internal emails have been leaked to the public broadcasting |{[9,15],VBZ},{[47,59],NN},Other
These latter reports were subjected to intensive examination |{[13,20],NN},{[49,60],VBZ},Other
Lucy Ali and Beth produced a photo story board to tell the story of the legend of the drift|{[35,46],NN},{[35,40],NN},Message-Topic
He also appeared in a television commercial against internet movie piracy |{[33,43],VBP},{[67,73],NN},Message-Topic
This is the most stable configuration of electrons - adding or subtracting an electron requires too much energy and so it does not really happen in nature|{[41,50],NN},{[24,37],VBP},Component-Whole
They placed the rats in a chamber which would give their feet an electrical shock|{[16,20],DT},{[26,33],VBP},Entity-Destination
The aircraft accommodated a pilot and copilot sitting side-by-side in a framed canopy|{[4,12],JJ},{[28,33],NN},Other
Our procedure is applicable to a wide variety of problems in which an order parameter departs spontaneously from an unstable initial value |{[76,85],DT},{[133,138],DT},Entity-Origin
A large smack of translucent jellyfish mechanically undulates in and around the frothy pacific shoreline cast against the sharp backdrop of a 35 million year old canyon that takes my breath away|{[29,38],NN},{[8,13],VBZ},Member-Collection
The spirit was distilled from a capacious glass vessel  and the vapour allowed to pass into a long glass tube about three inches in diameter|{[4,10],NN},{[48,54],NN},Entity-Origin
He accidental put oil into the gas tank |{[18,21],NN},{[31,39],DT},Entity-Destination
A University of Michigan study of 756 recently unemployed job seekers has found that medical and emotional fallout  including depression from unemployment continued even after two years when 71 percent were re-employed|{[142,154],JJ},{[107,114],DT},Cause-Effect
Before leaving Peter bought a silver star necklace for Tina|{[30,36],NN},{[42,50],NN},Other
The accolade was decided upon after an intense discussion between about 200 members|{[47,57],NN},{[4,12],JJ},Cause-Effect
The second example was about memory allocation functions |{[11,18],VBZ},{[47,56],JJ},Message-Topic
The infamous teacher has been dragged into another child abuse case |{[13,20],VBZ},{[63,67],DT},Other
Food poisoning is perhaps the commonest cause of abdominal pain  especially in the young dog or the scavenger type|{[5,14],NN},{[49,63],NN},Cause-Effect
The first days were frustrating as the winds were blowing for large sails but the direction was from the north  and the bay was at low tide|{[82,91],NN},{[105,110],JJ},Other
The trailer is a combo of the movies comedy and horror elements whilst also selling the potential for Megan Fox to be mostly naked|{[55,63],NN},{[17,22],VBP},Component-Whole
The alkali was contained in a nickel crucible with a loose lid having openings for the stirrer and for the passage of nitrogen|{[4,10],NN},{[30,45],NN},Content-Container
The lawsuit alleged the release of the records was a violation of the Video Privacy Protection Act|{[4,11],DT},{[53,62],NN},Message-Topic
Rudders and skegs improve the control over your kayak |{[12,17],NN},{[48,53],DT},Component-Whole
Formerly the essential oil was distilled from the peel for use in perfumery|{[13,26],NN},{[50,54],NN},Entity-Origin
The harrowing scenes were reported over several weeks in national newspapers |{[66,76],NN},{[14,20],NN},Message-Topic
I make all of my skirts and pants with elastic waists |{[47,53],DT},{[28,33],DT},Component-Whole
The model was approved by as the top design by a professional panel ; however it was later exhibited for the public|{[37,43],NN},{[62,67],DT},Other
The ending consists of a long speech by the narrator informing us that there was no monster|{[30,36],NN},{[44,52],DT},Product-Producer
The defendant had absconded from his probation |{[4,13],NN},{[37,46],NN},Entity-Origin
A tablet was given to patients to relieve extreme conditions of discomfort|{[2,8],DT},{[22,30],DT},Entity-Destination
This surgeon is part of the study group |{[5,12],JJ},{[34,39],NN},Member-Collection
We are able to wax any of our wicks with either a paraffin coating or for natural candles a 100% natural wax coating |{[59,66],VBP},{[82,89],DT},Component-Whole
The rest of the paragraph talks about attitude rather than syntax|{[16,25],DT},{[38,46],JJ},Message-Topic
The wrathful goddess turned her into a crane and proclaimed that her bird descendants should wage eternal war on the Pygmy folk|{[39,44],VBP},{[13,20],MD},Product-Producer
The mansion has a small museum with exhibits linked to the building's history including antique Singer sewing machines|{[24,30],JJ},{[4,11],DT},Component-Whole
Many local shops donated funds to the candidate |{[25,30],JJ},{[38,47],DT},Entity-Destination
The stem of this tree was completely eaten by termites|{[4,8],NN},{[17,21],NN},Component-Whole
I took everything out and immediately placed the phone in the cradle to charge the battery|{[49,54],NN},{[62,68],VBP},Entity-Destination
Instead the success of the revolution is the reason for the celebration |{[12,19],JJ},{[60,71],VBP},Cause-Effect
I got a fever from exhaustion and it seems like I'm better but basically my body is suffering from major exhaustion so I'm always tired|{[19,29],NNP},{[8,13],NN},Cause-Effect
This is one of the most abundant tree species in the whole forest  and with a maximum height of 14 m the dominant tree species of the first canopy layer|{[38,45],NN},{[59,65],MD},Other
The trio the penguins and a cartload of chimpanzees use the newly-fixed plane which looks more like a helicopter to come to the rescue|{[28,36],DT},{[40,51],NN},Other
This heart was put inside a dog after its own heart had been removed|{[5,10],VBZ},{[28,31],NN},Entity-Destination
The author examines some issues connected to religious freedom |{[25,31],VBP},{[55,62],NN},Other
These are the most typical student edition textbooks |{[43,52],NN},{[27,34],NN},Instrument-Agency
The hinge caused a crack on the left side of my kindle and Amazon has been horrible about helping with this issue|{[4,9],NN},{[19,24],VBP},Cause-Effect
 Injury of patients of the Bikini accident has been caused by the radiation of the fallout in contrast to the atomic bomb injury at Hiroshima and Nagasaki|{[66,75],DT},{[1,7],VBP},Cause-Effect
The abdominal distention caused by the worms was slightly asymmetrical when compared with the normal fright-induced swelling|{[39,44],MD},{[14,24],NN},Cause-Effect
The candidates then answered questions from other MPs on their proposals for reform of Parliament|{[29,38],JJ},{[63,72],NN},Message-Topic
More than thirty people lost their lives in June in the disaster caused by torrential rains in Hiroshima Prefecture and in September more than thirty people lost their lives in the damage caused by the typhoon that swept through various regions centering on Kumamoto Prefecture|{[86,91],DT},{[56,64],NN},Cause-Effect
I've sold a diamond ring that I bought at Zales for about $500 for $200 on craigslist|{[12,19],VBZ},{[20,24],NN},Other
In September an executive worked with Goofy Boi to create this video to support a current promotion|{[63,68],NN},{[16,25],NNP},Product-Producer
The concerns over security has moved into the boardrooms |{[4,12],VBP},{[46,56],VBZ},Entity-Destination
An explosive charge was discovered inside a bag at the entrance to the Shalom theater in Moscow|{[13,19],VBP},{[44,47],DT},Content-Container
Putting a first time learner in the driver 's seat of a car is a scary proposition|{[46,50],VBZ},{[36,42],NN},Instrument-Agency
This introductory text makes a threefold contribution to the undergraduate literature |{[18,22],NN},{[75,85],NN},Other
